Price,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Brand
1850000.0,Auto-2WD,Green,2014.0,12.0,1000.0,Petrol,40000.0,Maruti Suzuki
3400000.0,Auto-2WD,Dark blue,2018.0,18.0,1500.0,Diesel,40000.0,Tata
1100000.0,Manual-4WD,Silver,2007.0,15.0,1000.0,Petrol,60000.0,Hyundai
2850000.0,Manual-2WD,Brown,2017.0,15.0,1200.0,Petrol,50000.0,Hyundai
1175000.0,Manual-4WD,green,2010.0,15.0,2169.0,Diesel,70000.0,Tata
3150000.0,Manual-2WD,Blue,2016.0,12.0,2200.0,Diesel,50000.0,Mahindra
2299000.0,Manual-2WD,Smoke Grey,2015.0,15.0,1499.0,Diesel,50000.0,Ford
1500000.0,Manual-2WD,white,2015.0,15.0,1100.0,Petrol,50000.0,Maruti Suzuki
2400000.0,Manual-2WD,orange-coloured,2016.0,12.0,1596.0,Petrol,36000.0,Renault
1050000.0,Manual-2WD,white metallice,2010.0,10.0,1596.0,Petrol,65000.0,Other Chinese Brands
650000.0,Power Steering,white,2003.0,15.0,1000.0,Petrol,50000.0,Hyundai
1375000.0,Manual-2WD,Silver,2010.0,15.0,1400.0,Diesel,47000.0,Hyundai
1185000.0,Manual-2WD,Silver,2009.0,15.0,1300.0,Petrol,45000.0,Maruti Suzuki
630000.0,Auto-2WD,Blue,2017.0,15.0,702.0,Diesel,5900.0,Tata
1475000.0,Manual-2WD,White,2017.0,15.0,1196.0,Petrol,38300.0,Maruti Suzuki
4050000.0,Manual-2WD,premium silver,2021.0,20.0,1500.0,Petrol,17000.0,Maruti Suzuki
1475000.0,Manual-2WD,white,2017.0,15.0,1196.0,Petrol,38300.0,Maruti Suzuki
3300000.0,Power Steering,silver,2016.0,15.0,2000.0,Petrol,56000.0,Mahindra
1350000.0,Manual-2WD,silver,2009.0,13.0,1298.0,Petrol,64000.0,Maruti Suzuki
2350000.0,Manual-4WD,blue,2009.0,12.0,2000.0,Diesel,73000.0,Hyundai
1700000.0,Manual-2WD,Cream white,2013.0,14.0,1200.0,Petrol,62000.0,Hyundai
1400000.0,Manual-4WD,silver,2015.0,15.0,2200.0,Diesel,130000.0,Tata
4800000.0,Manual-2WD,white,2022.0,15.0,50000.0,Diesel,50000.0,Hyundai
3100000.0,Manual-2WD,grey,2017.0,18.0,1248.0,Diesel,56000.0,Maruti Suzuki
975000.0,Manual-2WD,silver,2008.0,15.0,1948.0,Diesel,56000.0,Tata
1350000.0,Manual-2WD,Black,2009.0,15.0,1197.0,Petrol,50000.0,Hyundai
3700000.0,Power Steering,Yellow,2021.0,15.0,4898.0,Diesel,3700.0,Eicher
699000.0,Auto-2WD,silver,2007.0,15.0,800.0,Petrol,50000.0,Maruti Suzuki
500000.0,Auto-2WD,Black,2007.0,15.0,1500.0,Petrol,20.0,Tata
1400000.0,Power Steering,Grey,2010.0,15.0,1300.0,Petrol,61000.0,Maruti Suzuki
1500000.0,Manual-2WD,Mate Black,2010.0,15.0,1600.0,Petrol,86000.0,Other Chinese Brands
525000.0,Manual-2WD,white,2012.0,10.0,800.0,Petrol,8200.0,Maruti Suzuki
1500000.0,Manual-2WD,read,2016.0,14.0,2900.0,Diesel,80000.0,Tata
1750000.0,Manual-4WD,white,2018.0,12.0,2523.0,Diesel,60000.0,Mahindra
1350000.0,Auto-4WD,white,2014.0,15.0,50000.0,Diesel,50000.0,Mahindra
2275000.0,Manual-2WD,Grey,2021.0,15.0,1000.0,Petrol,15000.0,Maruti Suzuki
1325000.0,Auto-2WD,Silver,2009.0,15.0,1200.0,Petrol,70000.0,Hyundai
2149999.0,Manual-2WD,Red,2015.0,16.0,1200.0,Petrol,41100.0,Maruti Suzuki
1450000.0,Manual-2WD,White,2017.0,15.0,2500.0,Petrol,53000.0,Mahindra
1100000.0,Power Steering,silver,2011.0,17.0,1000.0,Petrol,58000.0,Maruti Suzuki
1100000.0,Manual-2WD,Silver,2007.0,15.0,1500.0,Petrol,75000.0,Honda
2500000.0,Manual-2WD,silver,2016.0,15.0,1200.0,Petrol,81000.0,Hyundai
4300000.0,Manual-4WD,White,2014.0,15.0,1500.0,Petrol,59000.0,Daihatsu
1150000.0,Manual-2WD,Black,2007.0,13.0,1096.0,Petrol,57000.0,Hyundai
515000.0,Auto-2WD,white,2007.0,19.0,796.0,Petrol,50000.0,Maruti Suzuki
365000.0,Auto-2WD,white,2002.0,18.0,796.0,Petrol,56000.0,Maruti Suzuki
350000.0,Auto-2WD,Whitr,2010.0,10.0,800.0,Petrol,80000.0,Maruti Suzuki
2500000.0,Manual-2WD,white,2010.0,15.0,50000.0,Petrol,50000.0,Other Brands
1385000.0,Manual-2WD,asure blue,2009.0,14.0,1300.0,Petrol,76500.0,Maruti Suzuki
950000.0,Manual-2WD,Cream,2020.0,15.0,700.0,Diesel,28250.0,Tata
1700000.0,Manual-4WD,Army green,1998.0,18.0,1200.0,Petrol,98000.0,Maruti Suzuki
2225000.0,Manual-2WD,Grey,2021.0,15.0,1086.0,Petrol,15000.0,Hyundai
1800000.0,Auto-2WD,Marron,2010.0,15.0,1400.0,Petrol,76342.0,Hyundai
2225000.0,Manual-2WD,Grey,2021.0,15.0,1100.0,Petrol,15000.0,Hyundai
1600000.0,Manual-2WD,Silver,2014.0,14.0,1186.0,Petrol,35000.0,Hyundai
650000.0,Auto-4WD,white,2015.0,15.0,50000.0,Diesel,50000.0,Eicher
1250000.0,Manual-2WD,metalic very light gold,2006.0,13.0,1596.0,Petrol,69000.0,Nissan
2260000.0,Manual-2WD,white,2016.0,15.0,1200.0,Petrol,42000.0,Maruti Suzuki
950000.0,Manual-4WD,WHITE,2011.0,12.0,2523.0,Diesel,77000.0,Mahindra
2100000.0,Manual-2WD,grey,2015.0,14.0,1197.0,Petrol,47000.0,Maruti Suzuki
1575000.0,Manual-2WD,grey,2010.0,13.0,1197.0,Petrol,58000.0,Hyundai
575000.0,Manual-2WD,Blue,1997.0,12.0,850.0,Petrol,98521.0,Daihatsu
1050000.0,Manual-2WD,White,2014.0,10.0,2900.0,Diesel,790000.0,Mahindra
3550000.0,Manual-2WD,Blue,2018.0,15.0,1500.0,Petrol,50000.0,Ford
2400000.0,Manual-2WD,Silver,2017.0,15.0,1200.0,Petrol,29000.0,Tata
1075000.0,Manual-2WD,blue,2013.0,22.0,814.0,Petrol,45000.0,Hyundai
2650000.0,Auto-2WD,White,2015.0,15.0,2179.0,Diesel,155000.0,Mahindra
1200000.0,Manual-2WD,White,2013.0,15.0,1200.0,Petrol,56000.0,Ford
1800000.0,Auto-2WD,metallic green,2014.0,15.0,1000.0,Petrol,50000.0,Maruti Suzuki
1300000.0,Manual-2WD,White,2010.0,12.0,1100.0,Petrol,75000.0,Hyundai
875000.0,Auto-4WD,red,1997.0,15.0,2800.0,Diesel,50000.0,Toyota
1025000.0,Manual-2WD,grey,2006.0,18.0,1100.0,Petrol,100000.0,Hyundai
1100000.0,Manual-2WD,white,2017.0,15.0,1300.0,Petrol,72256.0,Maruti Suzuki
1700000.0,Auto-4WD,white,2015.0,15.0,50000.0,Diesel,50000.0,Mahindra
895000.0,Auto-2WD,silbar,2014.0,12.0,5223.0,Diesel,9800.0,Mahindra
1275000.0,Manual-2WD,blue,2008.0,14.0,1200.0,Petrol,62000.0,Hyundai
3600000.0,Auto-2WD,Blue and white,2021.0,270.0,2010.0,Electric,25000.0,Tata
2550000.0,Auto-2WD,white,2018.0,15.0,800.0,Petrol,50000.0,Maruti Suzuki
2300000.0,Auto-2WD,Cream,2018.0,16.0,1200.0,Petrol,47000.0,Ford
1485000.0,Manual-2WD,silver,2010.0,14.0,1200.0,Petrol,46374.0,Hyundai
2000000.0,Auto-4WD,Coffee,2006.0,12.0,2000.0,Diesel,54000.0,Kia
2050000.0,Auto-4WD,maroon,2009.0,16.0,1991.0,Diesel,85000.0,Hyundai
2700000.0,Manual-2WD,Silver,2010.0,10.0,2000.0,Petrol,50000.0,Hyundai
4499999.0,Manual-4WD,sliver,2017.0,15.0,2499.0,Diesel,56000.0,Other Brands
1770000.0,Manual-2WD,Black,2015.0,15.0,1500.0,Petrol,75000.0,Ford
400000.0,Auto-2WD,white,2003.0,14.0,796.0,Petrol,70000.0,Maruti Suzuki
2050000.0,Manual-2WD,Red,2009.0,18.0,50000.0,Petrol,77000.0,Toyota
985000.0,Manual-2WD,Red,2012.0,12.0,1200.0,Petrol,52000.0,Ford
1800000.0,Manual-2WD,White,2016.0,15.0,50000.0,Petrol,50000.0,Ford
2490000.0,Manual-2WD,Black and white,2016.0,18.0,1300.0,Petrol,47000.0,Maruti Suzuki
1375000.0,Manual-2WD,Silver,2009.0,13.0,1298.0,Petrol,50000.0,Maruti Suzuki
775000.0,Manual-2WD,Blue,2003.0,15.0,1100.0,Petrol,80000.0,Hyundai
2150000.0,Auto-2WD,White,2015.0,14.0,1500.0,Petrol,42000.0,Ford
1400000.0,Auto-2WD,white,2012.0,15.0,50000.0,Petrol,50000.0,Hyundai
2400000.0,Manual-2WD,navy blue,2016.0,15.0,1200.0,Petrol,30000.0,Hyundai
1500000.0,Auto-4WD,white,2020.0,50.0,1200.0,Diesel,50000.0,Mahindra
1050000.0,Auto-2WD,blue,2021.0,18.0,800.0,Diesel,30000.0,Tata
1750000.0,Manual-2WD,Grey,2014.0,15.0,50000.0,Petrol,50000.0,Hyundai
1450000.0,Manual-2WD,Silver,2010.0,12.0,1200.0,Petrol,53000.0,Hyundai
4500000.0,Manual-4WD,white,2020.0,11.0,2500.0,Diesel,55000.0,Other Brands
575000.0,Manual-2WD,white,2012.0,15.0,1000.0,Petrol,25000.0,Chevrolet
900000.0,Manual-2WD,white,2017.0,10.0,2900.0,Diesel,1700000.0,Tata
1450000.0,Manual-2WD,silver,2017.0,12.0,1200.0,Petrol,40000.0,Nissan
3450000.0,Manual-2WD,Silver,2021.0,16.0,1497.0,Petrol,30000.0,Ford
1600000.0,Manual-4WD,red,2017.0,15.0,1656.0,Diesel,70000.0,Ford
2150000.0,Auto-4WD,White,2018.0,20.0,998.0,Petrol,38000.0,Maruti Suzuki
2450000.0,Auto-4WD,Grey,2010.0,10.0,1998.0,Petrol,56000.0,Kia
1600000.0,Manual-4WD,White,2016.0,15.0,2523.0,Diesel,50000.0,Tata
1775000.0,Manual-2WD,Light Brown,2014.0,15.0,1200.0,Petrol,57000.0,Honda
425000.0,Manual-2WD,Metallic Silver,1998.0,15.0,2000.0,Diesel,50000.0,Nissan
1250000.0,Manual-2WD,silver,2014.0,17.0,800.0,Petrol,23000.0,Maruti Suzuki
2000000.0,Manual-2WD,silver,2016.0,15.0,1200.0,Petrol,49000.0,Maruti Suzuki
3400000.0,Manual-4WD,Blue,1998.0,10.0,2800.0,Diesel,146000.0,Toyota
2950000.0,Manual-2WD,Silver,2015.0,15.0,1600.0,Petrol,50000.0,Hyundai
